-5.00,40.00
-4.90,40.00
-4.80,40.00
-4.70,40.00
-4.60,40.00
-4.49,40.00
-4.39,40.00
-4.29,40.00
-4.19,40.00
-4.09,40.00
-3.99,40.00
-3.89,40.00
-3.79,40.00
-3.69,40.00
-3.59,40.00
-3.48,40.00
-3.38,40.00
-3.28,40.00
-3.18,40.00
-3.08,40.00
-2.98,40.00
-2.88,40.00
-2.78,40.00
-2.68,40.00
-2.58,40.00
-2.47,40.00
-2.37,40.00
-2.27,40.01
-2.17,40.01
-2.07,40.01
-1.97,40.02
-1.87,40.03
-1.77,40.04
-1.67,40.06
-1.57,40.09
-1.46,40.12
-1.36,40.16
-1.26,40.20
-1.16,40.26
-1.06,40.32
-0.96,40.40
-0.86,40.48
-0.76,40.56
-0.66,40.65
-0.56,40.73
-0.45,40.81
-0.35,40.88
-0.25,40.94
-0.15,40.98
-0.05,41.00
0.05,41.00
0.15,40.98
0.25,40.94
0.35,40.88
0.45,40.81
0.56,40.73
0.66,40.65
0.76,40.56
0.86,40.48
0.96,40.40
1.06,40.32
1.16,40.26
1.26,40.20
1.36,40.16
1.46,40.12
1.57,40.09
1.67,40.06
1.77,40.04
1.87,40.03
1.97,40.02
2.07,40.01
2.17,40.01
2.27,40.01
2.37,40.00
2.47,40.00
2.58,40.00
2.68,40.00
2.78,40.00
2.88,40.00
2.98,40.00
3.08,40.00
3.18,40.00
3.28,40.00
3.38,40.00
3.48,40.00
3.59,40.00
3.69,40.00
3.79,40.00
3.89,40.00
3.99,40.00
4.09,40.00
4.19,40.00
4.29,40.00
4.39,40.00
4.49,40.00
4.60,40.00
4.70,40.00
4.80,40.00
4.90,40.00
5.00,40.00
