-5.00,34.24
-4.90,33.64
-4.80,34.18
-4.70,33.76
-4.60,33.12
-4.49,33.17
-4.39,33.09
-4.29,34.20
-4.19,33.24
-4.09,34.94
-3.99,36.83
-3.89,33.84
-3.79,35.27
-3.69,35.47
-3.59,34.96
-3.48,35.15
-3.38,35.73
-3.28,37.26
-3.18,36.71
-3.08,36.93
-2.98,37.40
-2.88,37.20
-2.78,38.16
-2.68,37.52
-2.58,37.35
-2.47,38.02
-2.37,38.22
-2.27,36.53
-2.17,39.75
-2.07,39.46
-1.97,39.98
-1.87,40.20
-1.77,39.22
-1.67,40.06
-1.57,40.83
-1.46,40.74
-1.36,40.98
-1.26,40.55
-1.16,39.97
-1.06,40.75
-0.96,40.15
-0.86,39.81
-0.76,41.37
-0.66,40.88
-0.56,42.48
-0.45,40.87
-0.35,39.75
-0.25,41.69
-0.15,42.99
-0.05,42.53
0.05,43.44
0.15,42.47
0.25,43.88
0.35,45.23
0.45,44.04
0.56,43.56
0.66,44.12
0.76,45.53
0.86,43.10
0.96,46.04
1.06,44.40
1.16,44.53
1.26,45.52
1.36,45.13
1.46,44.27
1.57,44.87
1.67,47.31
1.77,46.06
1.87,45.95
1.97,46.00
2.07,47.88
2.17,48.68
2.27,47.27
2.37,48.04
2.47,46.95
2.58,49.11
2.68,47.86
2.78,48.77
2.88,48.26
2.98,50.96
3.08,49.71
3.18,49.54
3.28,51.79
3.38,48.25
3.48,50.05
3.59,48.83
3.69,50.30
3.79,50.45
3.89,51.37
3.99,51.09
4.09,52.16
4.19,52.83
4.29,52.25
4.39,51.00
4.49,50.94
4.60,51.26
4.70,53.74
4.80,52.75
4.90,53.52
5.00,53.09
