-5.00,39.17
-4.90,37.55
-4.80,37.85
-4.70,33.47
-4.60,31.92
-4.49,31.44
-4.39,30.44
-4.29,26.82
-4.19,26.39
-4.09,24.75
-3.99,25.02
-3.89,23.18
-3.79,22.31
-3.69,20.65
-3.59,20.09
-3.48,18.94
-3.38,15.79
-3.28,14.42
-3.18,15.49
-3.08,12.98
-2.98,13.09
-2.88,13.33
-2.78,13.12
-2.68,10.55
-2.58,10.03
-2.47,8.92
-2.37,8.36
-2.27,6.52
-2.17,6.73
-2.07,7.85
-1.97,4.13
-1.87,3.56
-1.77,3.32
-1.67,5.23
-1.57,3.49
-1.46,4.43
-1.36,5.78
-1.26,3.55
-1.16,3.53
-1.06,1.78
-0.96,2.76
-0.86,2.63
-0.76,1.94
-0.66,3.08
-0.56,4.18
-0.45,4.40
-0.35,2.18
-0.25,4.36
-0.15,4.44
-0.05,3.89
0.05,4.29
0.15,4.23
0.25,5.02
0.35,3.62
0.45,5.29
0.56,4.53
0.66,5.51
0.76,9.21
0.86,8.71
0.96,8.79
1.06,10.55
1.16,10.00
1.26,11.80
1.36,12.64
1.46,12.76
1.57,14.38
1.67,14.79
1.77,15.78
1.87,16.30
1.97,15.59
2.07,18.67
2.17,19.19
2.27,21.84
2.37,23.45
2.47,23.71
2.58,24.59
2.68,25.16
2.78,27.26
2.88,28.66
2.98,30.27
3.08,33.47
3.18,32.59
3.28,35.65
3.38,37.42
3.48,39.08
3.59,39.53
3.69,43.03
3.79,42.98
3.89,45.54
3.99,48.87
4.09,49.72
4.19,51.20
4.29,53.41
4.39,56.75
4.49,57.76
4.60,60.31
4.70,62.74
4.80,65.77
4.90,67.16
5.00,69.50
